codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
210547,202512,2975,2420341.0,816.03
210550,202512,3703,2682354.0,733.08
210560,202512,2974,2137857.0,721.03
210565,202512,1112,814698.0,733.3
210570,202512,8729,6180574.0,709.35
210580,202512,1951,1383008.0,709.96
210590,202512,3043,2199420.0,732.16
210592,202512,2514,1762232.0,702.08
210594,202512,1707,1195276.0,706.43
210596,202512,2493,1838428.0,741.9
210598,202512,1496,1088514.0,730.06
210600,202512,2051,1426640.0,695.92
210610,202512,2112,1445357.0,688.27
210620,202512,2114,1475319.0,700.86
210630,202512,2588,1821201.0,705.07
210632,202512,4471,3236236.0,726.75
210635,202512,1456,1086626.0,750.43
210637,202512,2462,1788962.0,728.7
210640,202512,4148,2987112.0,721.52
210650,202512,5631,3944867.0,703.56
210660,202512,6158,4426096.0,728.46
210663,202512,1913,1354889.0,716.87
210667,202512,1644,1187350.0,724.44
210670,202512,5280,3710474.0,704.21
210675,202512,4454,3064727.0,692.12
210680,202512,4691,3166429.0,677.89
210690,202512,6413,4603398.0,723.58
210700,202512,1803,1276787.0,712.89
210710,202512,4377,3175306.0,728.28
210720,202512,2569,1911261.0,747.17
210725,202512,848,606272.0,720.04
210730,202512,1104,751462.0,682.53
210735,202512,3335,2400334.0,721.04
210740,202512,3829,2606752.0,682.75
210745,202512,3358,2326165.0,694.17
210750,202512,16586,11476505.0,693.53
210760,202512,5723,3818870.0,669.98
210770,202512,4301,2976457.0,695.43
210780,202512,5368,3851108.0,718.49
210790,202512,3735,2619557.0,703.61
210800,202512,3798,2653300.0,702.49
210805,202512,3697,2779556.0,754.08
210810,202512,4401,3129260.0,714.12
210820,202512,4378,2933650.0,673.32
210825,202512,7396,5202337.0,717.07
210830,202512,7474,5398120.0,724.29
210840,202512,4012,2651784.0,662.61
210845,202512,4337,3076757.0,711.39
210850,202512,5365,3850815.0,720.32
210860,202512,17816,12003156.0,675.85
210870,202512,4802,3399976.0,715.33
210880,202512,3245,2322961.0,716.74
210890,202512,3715,2512269.0,686.98
210900,202512,2557,1744623.0,689.3
210905,202512,2052,1370613.0,669.24
210910,202512,5062,3452872.0,686.18
210920,202512,2730,1996141.0,733.07
210923,202512,1337,939267.0,705.16
210927,202512,4037,2993170.0,744.2
210930,202512,2363,1761998.0,747.24
210940,202512,2520,1768811.0,706.39
210945,202512,6112,4335371.0,711.65
210950,202512,3541,2534099.0,721.97
210955,202512,996,701196.0,704.72
210960,202512,5745,4065667.0,709.05
210970,202512,1103,784475.0,713.81
210975,202512,1181,820026.0,698.49
210980,202512,8165,5592661.0,688.24
210990,202512,11756,8153300.0,695.32
211000,202512,10653,7797764.0,735.01
211003,202512,5063,3547880.0,702.13
211010,202512,5650,4131342.0,733.81
211020,202512,8578,6009701.0,706.77
211023,202512,1772,1259523.0,714.02
211027,202512,3327,2403840.0,725.36
211030,202512,3142,2177450.0,694.78
211040,202512,4141,3154393.0,763.22
211050,202512,7518,5038641.0,677.42
211060,202512,6546,4569490.0,702.13
211065,202512,1711,1229558.0,719.88
211070,202512,7137,5038014.0,706.99
211080,202512,790,543734.0,689.14
211085,202512,1604,1153366.0,719.95
211090,202512,2591,1816878.0,702.31
211100,202512,6263,4185255.0,670.5
211102,202512,2653,1971529.0,744.25
211105,202512,1799,1285708.0,718.67
211107,202512,3500,2602446.0,745.47
211110,202512,4677,3220426.0,690.04
211120,202512,24867,17185887.0,694.66
211125,202512,1241,882488.0,723.35
211130,202512,116126,78436809.0,677.87
211140,202512,3652,2578427.0,706.61
211150,202512,6568,4648490.0,710.78
211153,202512,1784,1325231.0,746.19
211157,202512,960,680476.0,713.29
211160,202512,3185,2204250.0,727.0
211163,202512,1149,812322.0,712.56
211167,202512,1110,782841.0,709.1
211170,202512,5326,3584644.0,682.14
211172,202512,1769,1227184.0,703.66
211174,202512,2816,2114043.0,752.86
211176,202512,2946,2110052.0,719.91
211178,202512,3932,2729843.0,699.78
211180,202512,3195,2297208.0,723.53
211190,202512,2553,1788499.0,701.37
211195,202512,1047,736241.0,712.03
211200,202512,1215,886565.0,736.35
211210,202512,4719,3428012.0,728.28
211220,202512,24887,17369002.0,699.83
211223,202512,2995,2027489.0,682.66
211227,202512,1275,957739.0,754.13
211230,202512,6412,4516847.0,707.75
211240,202512,9023,6508183.0,723.29
211245,202512,5460,4004959.0,737.15
211250,202512,12238,8795086.0,720.79
211260,202512,6979,5236371.0,752.35
211270,202512,7461,5447041.0,731.54
211280,202512,10241,7108902.0,701.84
211285,202512,1606,1168187.0,737.49
211290,202512,5873,4147956.0,708.08
211300,202512,5106,3497024.0,689.07
211400,202512,7331,5236306.0,746.66
220005,202512,1388,925231.0,678.82
220010,202512,956,663640.0,696.37
220020,202512,3422,2327792.0,682.44
220025,202512,1388,915679.0,675.78
220027,202512,946,628886.0,676.95
220030,202512,2983,1974099.0,662.45
220040,202512,5756,3985433.0,694.45
220045,202512,1167,807234.0,701.94
220050,202512,3265,2278716.0,700.07
220060,202512,1629,1117565.0,692.85
220070,202512,1729,1158177.0,685.31
220080,202512,527,358532.0,681.62
220090,202512,1099,724493.0,670.21
220095,202512,746,476311.0,661.54
220100,202512,939,635040.0,691.76
220105,202512,1472,1040518.0,717.6
220110,202512,2379,1620782.0,706.53
220115,202512,2489,1749482.0,704.02
220117,202512,830,548962.0,692.26
220120,202512,12493,8375454.0,674.24
220130,202512,716,501874.0,708.86
220140,202512,1276,872924.0,684.65
220150,202512,5071,3443251.0,681.43
220155,202512,762,505188.0,670.01
220157,202512,676,438748.0,656.81
220160,202512,1942,1314966.0,679.22
220170,202512,970,656922.0,696.63
220173,202512,1476,1032668.0,719.63
220177,202512,1931,1314956.0,681.68
220180,202512,752,489787.0,668.2
220190,202512,4559,3167596.0,724.68
220191,202512,1402,942198.0,672.52
220192,202512,1326,897553.0,693.09
220194,202512,1466,998835.0,683.2
220196,202512,1658,1121064.0,676.56
220198,202512,1016,682024.0,680.66
220200,202512,3968,2708857.0,686.31
220202,202512,1572,1069119.0,698.31
220205,202512,2019,1327341.0,658.08
220207,202512,500,339607.0,697.34
220208,202512,1031,712879.0,707.92
220209,202512,1116,752747.0,695.06
220210,202512,1181,754608.0,709.22
220211,202512,1175,793048.0,693.83
220213,202512,1134,752889.0,671.62
220217,202512,2031,1427111.0,702.66
220220,202512,9270,6036520.0,652.1
220225,202512,750,526336.0,718.06
220230,202512,4200,2810201.0,690.64
220240,202512,2596,1761083.0,679.43
220245,202512,1167,760448.0,658.4
220250,202512,2408,1650663.0,701.51
220253,202512,1187,814490.0,689.08
220255,202512,1346,860914.0,669.97
220260,202512,3690,2576425.0,714.09
220265,202512,1274,875235.0,689.16
220270,202512,5682,3893437.0,686.19
220271,202512,1100,747780.0,681.66
220272,202512,1193,810442.0,686.23
220273,202512,813,559664.0,690.09
220275,202512,1695,1147117.0,699.89
220277,202512,1533,1021227.0,677.66
220280,202512,1357,886060.0,661.24
220285,202512,1259,859686.0,688.3
220290,202512,4060,2849561.0,723.97
220300,202512,1193,838475.0,709.97
220310,202512,2033,1385936.0,701.74
220320,202512,2199,1517998.0,708.68
220323,202512,1089,748361.0,706.0
220325,202512,851,604160.0,711.61
